#{"t_start": 1783516897.2808077, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
7.493171,112,4.185962,-100.0,-0.11861804513133023,0
13.680298,115,4.713956,-100.0,-0.21112993312227826,0
5.011483,114,5.177964,-100.0,0.0025987319811770285,0
16.686511,109,5.830569,-100.0,3.426777949689088,0
2.624461,115,6.182496,-100.0,-0.3063714079461029,0
7.819583,86,6.406432,-100.0,-0.10148313952871196,0
14.133291,128,6.795062,-100.0,-0.19794894948460745,0
14.469538,92,7.078465,-100.0,0.3385297892410581,0
7.218097,69,7.277164,-100.0,-0.10441980554444438,0
11.814034,58,7.449201,-100.0,-0.2659505774696208,0
8.553106,83,10.42542,-100.0,0.0452049944305217,0
12.024613,64,10.592346,-100.0,-0.18395915006447555,0
2.814944,72,10.821433,-100.0,-0.32387041427883656,0
8.987304,67,11.032692,-100.0,-0.26435511721910515,0
8.825486,88,11.373944,-100.0,-0.21395613176172834,0
4.020727,85,11.628183,-100.0,-0.27988157495362864,0
9.802121,73,11.920436,-100.0,-0.33223929642231387,0
1.940782,98,12.602391,-100.0,-0.21260617766830453,0
9.904229,111,13.015043,-100.0,-0.23264220731186996,0
6.999919,59,13.192062,-100.0,-0.2757735650846846,0
29.537471,76,13.39876,-100.0,16.06137981051373,0
0.423287,114,13.808061,-100.0,-0.38567337638248567,0
8.358484,114,16.428735,-100.0,-0.31437772771872907,0
8.212236,124,16.903744,-100.0,-0.19679599868605485,0
10.494202,109,17.190566,-100.0,-0.2886545525616265,0
4.322361,113,17.524628,-100.0,-0.3366836998564082,0
11.69755,87,17.807808,-100.0,-0.26931085501630164,0
11.061872,98,18.062829,-100.0,-0.2057184020495501,0
5.159035,108,18.373892,-100.0,-0.2666208909860045,0
10.266963,102,18.64721,-100.0,-0.289561581128814,0
8.570759,78,18.873534,-100.0,-0.15013128020044628,0
13.487294,85,19.113012,-100.0,-0.2335205098900963,0
10.854613,73,22.007006,-100.0,-0.17502505872186327,0
12.6566,110,22.373657,-100.0,-0.12184995275462814,0
10.198766,89,22.689687,-100.0,-0.2333345659920918,0
10.551213,93,23.232399,-100.0,-0.22742979192105484,0
10.76762,60,23.448395,-100.0,-0.26911890794383403,0
10.528956,86,23.780006,-100.0,-0.03962734849378467,0
9.921813,63,23.987749,-100.0,-0.0707962067966179,0
33.210308,60,24.234386,-100.0,20.0,0
7.740441,78,24.542896,-100.0,-0.17250212787308525,0
11.659747,75,24.83753,-100.0,0.05138371823087198,0
11.62033,82,25.164063,-100.0,-0.025291798351769534,0
11.860894,70,25.384883,-100.0,-0.1434049967661904,0
8.564157,77,25.652531,-100.0,-0.012513431625077811,0
33.051119,112,28.276286,-100.0,19.642606239821227,0
