#{"t_start": 1782917224.434656, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
4.260023,119,1.459207,-100.0,-0.23891612887382507,0
2.923731,110,1.580245,-100.0,-0.18820373713970184,0
8.45948,72,1.659576,-100.0,-0.071910560131073,0
7.358207,110,1.773645,-100.0,-0.10857205092906952,0
2.234722,101,1.874558,-100.0,-0.08499515056610107,0
5.022155,71,1.946605,-100.0,-0.30809950828552246,0
8.039382,92,2.034658,-100.0,-0.14892429113388062,0
6.852961,86,2.119589,-100.0,-0.27081945538520813,0
-0.066668,103,2.219661,-100.0,-0.2559754550457001,0
4.357938,70,2.293102,-100.0,-0.226214200258255,0
8.874983,98,3.123163,-100.0,-0.24686335027217865,0
-5.868931,101,3.225065,-100.0,-0.1627534031867981,0
-3.055983,93,3.34014,-100.0,-0.339562326669693,0
-3.073719,109,3.478531,-100.0,-0.37614643573760986,0
-3.829884,135,3.714122,-100.0,-0.1872883141040802,0
7.52841,65,3.822907,-100.0,-0.18644483387470245,0
-11.0503,92,3.955203,-100.0,-0.11255788803100586,0
1.257149,125,4.132669,-100.0,-0.17751745879650116,0
2.113407,104,4.279755,-100.0,-0.3330082297325134,0
8.24976,78,4.395754,-100.0,0.06789800524711609,0
8.955125,65,4.487729,-100.0,-0.23474495112895966,0
5.370765,132,5.929395,-100.0,-0.13813377916812897,0
-2.962338,117,6.115993,-100.0,-0.08707253634929657,0
-3.473567,89,6.269644,-100.0,-0.33316320180892944,0
4.793699,69,6.3738,-100.0,-0.13740412890911102,0
5.737407,98,6.526409,-100.0,-0.17267414927482605,0
5.163018,65,6.63479,-100.0,-0.1988009214401245,0
-3.278707,145,6.85867,-100.0,-0.21618972718715668,0
4.881521,105,7.013059,-100.0,-0.09444743394851685,0
6.078049,130,7.207597,-100.0,-0.21240559220314026,0
-0.190576,118,7.406706,-100.0,-0.15068450570106506,0
9.431008,61,8.515569,-100.0,-0.1924736350774765,0
-2.488989,110,8.685285,-100.0,-0.28056395053863525,0
5.637157,76,8.797876,-100.0,-0.2687070071697235,0
-4.560067,109,8.97037,-100.0,-0.2288181632757187,0
0.428605,125,9.157525,-100.0,-0.19181232154369354,0
7.043128,75,9.272952,-100.0,-0.19610272347927094,0
13.9356,96,9.410795,-100.0,4.2480950355529785,0
-1.037405,93,9.544972,-100.0,-0.229048952460289,0
-6.310672,89,9.67774,-100.0,-0.10176089406013489,0
-0.616116,107,9.838618,-100.0,-0.3132460117340088,0
-1.774836,76,9.94808,-100.0,-0.3589475154876709,0
2.14614,87,11.276409,-100.0,-0.11184589564800262,0
-5.195698,107,11.459087,-100.0,-0.4292406141757965,0
6.316181,64,11.555026,-100.0,-0.16381512582302094,0
-0.08946,101,11.723818,-100.0,-0.09797301888465881,0
14.521378,64,11.828439,-100.0,4.261444091796875,0
4.368026,81,11.958888,-100.0,-0.3909161686897278,0
8.583788,72,12.06802,-100.0,-0.16582967340946198,0
6.485738,81,12.188174,-100.0,-0.22225473821163177,0
6.502761,93,12.323024,-100.0,-0.11561690270900726,0
8.339309,61,12.417355,-100.0,-0.20610670745372772,0
4.474835,92,12.568798,-100.0,-0.24612154066562653,0
6.412287,66,12.673434,-100.0,-0.22207070887088776,0
3.183251,80,13.786058,-100.0,-0.2202521562576294,0
9.44502,60,13.86911,-100.0,-0.12522388994693756,0
8.761177,64,13.964917,-100.0,-0.08279784023761749,0
7.525866,78,14.068117,-100.0,-0.14674657583236694,0
13.495348,55,14.144767,-100.0,2.855937957763672,0
4.648516,116,14.319812,-100.0,-0.023604031652212143,0
3.41514,71,14.440562,-100.0,-0.37936630845069885,0
3.076556,95,14.584916,-100.0,-0.24282921850681305,0
5.268256,75,14.696227,-100.0,-0.16769881546497345,0
5.65787,81,14.804908,-100.0,-0.14361505210399628,0
3.363086,103,14.95057,-100.0,-0.1487976312637329,0
8.387978,83,15.068533,-100.0,-0.19971899688243866,0
2.519629,96,15.2028,-100.0,-0.2154456079006195,0
6.511319,81,16.753232,-100.0,-0.18818116188049316,0
14.284079,66,16.851154,-100.0,3.752950429916382,0
8.233356,77,16.965168,-100.0,-0.13073280453681946,0
7.691895,89,17.096115,-100.0,-0.18265275657176971,0
7.935452,75,17.20434,-100.0,-0.19575147330760956,0
-1.948432,118,17.379593,-100.0,-0.14635244011878967,0
2.484723,99,17.528413,-100.0,-0.1594541072845459,0
5.332961,73,17.652977,-100.0,-0.002115644281730056,0
7.416478,91,17.803814,-100.0,-0.18491142988204956,0
12.464979,94,17.935762,-100.0,3.920421838760376,0
10.668949,54,18.011102,-100.0,-0.2570401430130005,0
8.234035,81,18.120641,-100.0,-0.1402035653591156,0
8.452072,72,19.198529,-100.0,-0.15038232505321503,0
0.714966,102,19.343871,-100.0,-0.2887171506881714,0
6.360202,71,19.450842,-100.0,-0.129378080368042,0
6.196696,82,19.568299,-100.0,-0.18835221230983734,0
10.136768,56,19.662888,-100.0,-0.18667392432689667,0
8.88653,94,19.803486,-100.0,-0.17717114090919495,0
7.759013,87,19.924851,-100.0,-0.08308066427707672,0
2.50035,92,20.060828,-100.0,-0.19009636342525482,0
9.41457,62,20.151571,-100.0,0.019354552030563354,0
7.481314,71,20.25147,-100.0,-0.2536996006965637,0
5.518144,68,20.347561,-100.0,-0.26175498962402344,0
6.215134,67,20.442312,-100.0,-0.10010946542024612,0
5.345861,90,20.58059,-100.0,-0.12196026742458344,0
5.13691,70,20.679556,-100.0,-0.13770881295204163,0
10.375917,97,22.014509,-100.0,2.2450528144836426,0
6.237,93,22.150462,-100.0,0.22115595638751984,0
8.707803,70,22.24691,-100.0,0.9884030222892761,0
7.789523,54,22.324638,-100.0,-0.05310426652431488,0
6.634915,99,22.462145,-100.0,-0.17085880041122437,0
6.765101,96,22.615797,-100.0,-0.19436363875865936,0
7.175924,93,22.750797,-100.0,-0.1273571401834488,0
6.637436,55,22.844254,-100.0,-0.17334072291851044,0
10.889984,60,22.937583,-100.0,-0.08574333786964417,0
6.003437,59,23.024228,-100.0,-0.10034489631652832,0
9.364963,65,23.116542,-100.0,-0.18008941411972046,0
5.908609,101,23.255382,-100.0,-0.18858644366264343,0
8.897738,66,23.343667,-100.0,-0.1999863237142563,0
8.349814,91,24.447269,-100.0,-0.08542701601982117,0
9.52794,77,24.55703,-100.0,-0.15461081266403198,0
13.923316,60,24.645651,-100.0,3.760471820831299,0
5.083227,97,24.784344,-100.0,-0.28308042883872986,0
8.644954,55,24.863846,-100.0,-0.26515060663223267,0
5.271202,74,24.976097,-100.0,0.02403203956782818,0
8.079838,83,25.09378,-100.0,-0.12038981914520264,0
5.746504,85,25.217183,-100.0,-0.11071732640266418,0
10.74489,64,25.332083,-100.0,-0.28785163164138794,0
10.588423,56,25.410444,-100.0,-0.10746721923351288,0
14.907284,69,25.509696,-100.0,4.093985557556152,0
2.883309,90,25.64925,-100.0,-0.1484173685312271,0
15.567593,56,25.728977,-100.0,4.313405513763428,0
4.226274,81,25.846895,-100.0,-0.2092140018939972,0
6.840433,73,27.169818,-100.0,-0.17657172679901123,0
7.464244,83,27.297635,-100.0,-0.10805395245552063,0
9.128689,77,27.431545,-100.0,-0.2306939959526062,0
4.882975,82,27.631124,-100.0,-0.2890004515647888,0
3.823689,80,27.828075,-100.0,-0.2108108252286911,0
4.166756,73,27.957246,-100.0,-0.20994681119918823,0
7.188477,58,28.055364,-100.0,-0.0241694413125515,0
4.785775,85,28.194591,-100.0,-0.17955996096134186,0
6.728241,76,28.33556,-100.0,-0.19849415123462677,0
9.67547,70,28.448252,-100.0,-0.2611391246318817,0
9.229788,61,28.544331,-100.0,-0.18290749192237854,0
13.256148,58,28.677155,-100.0,2.667928457260132,0
4.296821,83,28.866008,-100.0,-0.30862972140312195,0
4.683469,88,30.161946,-100.0,-0.13915608823299408,0
10.279115,74,30.264599,-100.0,0.47254544496536255,0
13.071846,56,30.361849,-100.0,2.8134894371032715,0
4.202665,105,30.54242,-100.0,-0.2713148295879364,0
8.168702,66,30.667011,-100.0,-0.15095186233520508,0
8.705972,65,30.776888,-100.0,-0.1775735318660736,0
10.872782,59,30.86966,-100.0,-0.23261284828186035,0
9.38998,71,30.977376,-100.0,0.8273128867149353,0
8.146869,86,31.111071,-100.0,-0.16101524233818054,0
10.20547,85,31.239193,-100.0,-0.38061070442199707,0
10.186596,59,31.440697,-100.0,-0.2128179967403412,0
4.749193,90,31.653751,-100.0,-0.22034281492233276,0
8.179664,93,31.841956,-100.0,-0.20393037796020508,0
8.771971,77,32.014098,-100.0,0.1857294887304306,0
9.784294,87,33.285851,-100.0,-0.2957059144973755,0
7.560576,54,33.367344,-100.0,-0.15814927220344543,0
9.334069,54,33.451691,-100.0,-0.14257386326789856,0
10.783994,73,33.563996,-100.0,0.6794705986976624,0
7.945111,52,33.642936,-100.0,-0.09107659757137299,0
10.45105,66,33.734044,-100.0,-0.30541911721229553,0
6.947359,65,33.830657,-100.0,-0.20076945424079895,0
6.710957,84,33.964078,-100.0,-0.10885734111070633,0
8.993609,92,34.096668,-100.0,-0.20345304906368256,0
13.969754,60,34.208523,-100.0,2.475294828414917,0
7.354776,84,34.366678,-100.0,-0.28926828503608704,0
8.913574,88,34.50782,-100.0,0.059863146394491196,0
7.15281,69,34.619924,-100.0,0.18013349175453186,0
1.395646,94,34.757582,-100.0,-0.19414357841014862,0
10.434732,55,36.012952,-100.0,-0.24465428292751312,0
8.90555,73,36.19828,-100.0,0.004194747656583786,0
6.229066,62,36.323895,-100.0,-0.2415822148323059,0
12.374046,63,36.479546,-100.0,2.289910078048706,0
10.378398,55,36.972877,-100.0,-0.2768239676952362,0
9.730809,55,37.155754,-100.0,-0.2070457935333252,0
7.068013,65,37.316963,-100.0,-0.28239336609840393,0
7.55565,70,37.470307,-100.0,0.01916620507836342,0
10.775617,60,37.589946,-100.0,-0.2048962265253067,0
15.851417,61,37.688961,-100.0,4.234184265136719,0
10.531803,58,37.786666,-100.0,-0.1985061764717102,0
6.455299,86,37.974561,-100.0,-0.17529773712158203,0
10.439699,52,38.086165,-100.0,-0.2424687296152115,0
8.362282,72,38.212021,-100.0,-0.20537836849689484,0
10.51182,78,38.339208,-100.0,0.28450414538383484,0
6.611012,83,39.531686,-100.0,-0.09507113695144653,0
8.130986,68,39.635719,-100.0,-0.06102370470762253,0
8.839211,67,39.726839,-100.0,-0.2091454565525055,0
11.288103,78,39.839512,-100.0,1.2732101678848267,0
14.202798,58,39.921702,-100.0,2.996260166168213,0
10.236503,59,40.029088,-100.0,-0.13009147346019745,0
13.417472,74,40.144357,-100.0,3.2061007022857666,0
10.221957,70,40.24233,-100.0,-0.18746119737625122,0
13.811671,59,40.330322,-100.0,2.7838456630706787,0
11.517231,54,40.405274,-100.0,-0.3775250315666199,0
11.312421,61,40.491145,-100.0,-0.32280904054641724,0
8.305563,75,40.601735,-100.0,-0.21714715659618378,0
4.546134,102,40.757222,-100.0,-0.3020707368850708,0
15.479634,73,40.860562,-100.0,4.335516452789307,0
13.724258,61,40.949808,-100.0,2.67069411277771,0
15.443194,61,42.192997,-100.0,4.127864837646484,0
13.81877,71,42.342099,-100.0,2.92734694480896,0
16.406129,58,42.449802,-100.0,4.263805389404297,0
7.665892,55,42.571767,-100.0,-0.22228068113327026,0
9.526128,91,42.776233,-100.0,-0.13242453336715698,0
10.736207,92,42.928577,-100.0,-0.2758125364780426,0
8.76239,58,43.012832,-100.0,-0.1997528225183487,0
8.456588,75,43.11788,-100.0,-0.16573798656463623,0
10.711386,84,43.242029,-100.0,-0.3702615201473236,0
8.23155,58,43.332562,-100.0,-0.2455354630947113,0
5.564987,89,43.464833,-100.0,-0.19064536690711975,0
16.348704,73,43.57476,-100.0,4.442166805267334,0
8.919942,57,43.660157,-100.0,-0.2446691393852234,0
8.351755,83,43.782857,-100.0,-0.03450130671262741,0
6.930887,93,44.941579,-100.0,-0.28575563430786133,0
7.662954,76,45.04908,-100.0,-0.21632102131843567,0
16.743698,61,45.135441,-100.0,4.359403133392334,0
8.101791,53,45.209596,-100.0,-0.21121729910373688,0
10.740008,88,45.337347,-100.0,1.0194858312606812,0
5.773186,75,45.442211,-100.0,-0.04675258323550224,0
9.989787,59,45.525425,-100.0,-0.1333550214767456,0
6.732004,82,45.647042,-100.0,-0.28272783756256104,0
11.806613,55,45.723904,-100.0,-0.41441774368286133,0
9.485157,89,45.850365,-100.0,-0.19351530075073242,0
7.798358,75,45.963753,-100.0,-0.2644527852535248,0
10.295512,77,46.077647,-100.0,-0.16072140634059906,0
9.276782,56,46.155969,-100.0,-0.20430172979831696,0
7.932105,78,46.288214,-100.0,-0.1261666715145111,0
9.655478,52,46.365997,-100.0,-0.3126946985721588,0
16.332861,69,47.574822,-100.0,4.221540451049805,0
14.90679,54,47.671126,-100.0,3.524116277694702,0
5.508535,75,47.820929,-100.0,-0.31199726462364197,0
9.847504,64,47.939675,-100.0,-0.24838703870773315,0
9.913553,90,48.069827,-100.0,-0.19379478693008423,0
9.892583,68,48.166515,-100.0,-0.2647480368614197,0
9.93695,55,48.24114,-100.0,-0.05858883261680603,0
6.875403,85,48.362757,-100.0,-0.10641195625066757,0
5.326073,79,48.473439,-100.0,-0.054487138986587524,0
10.551054,59,48.559474,-100.0,-0.1942066103219986,0
11.445446,55,48.648779,-100.0,-0.21589384973049164,0
12.960598,58,48.733696,-100.0,1.8158178329467773,0
8.550562,78,48.843502,-100.0,-0.16711506247520447,0
8.842226,51,48.915988,-100.0,-0.11964502930641174,0
10.753045,84,49.035836,-100.0,1.3951599597930908,0
10.06646,66,50.152249,-100.0,-0.1699262261390686,0
7.296548,84,50.267682,-100.0,-0.2867940068244934,0
16.846133,76,50.378205,-100.0,4.359009265899658,0
11.813169,54,50.457363,-100.0,-0.06449884176254272,0
9.041374,56,50.541167,-100.0,-0.2812945544719696,0
5.84889,81,50.672289,-100.0,-0.25849494338035583,0
9.235421,89,50.812777,-100.0,-0.20170560479164124,0
11.532033,78,50.921893,-100.0,-0.4021109938621521,0
7.644988,57,51.007322,-100.0,-0.37195920944213867,0
9.823719,67,51.106967,-100.0,-0.09021274745464325,0
14.817549,77,51.222794,-100.0,3.6229782104492188,0
16.509034,52,51.297107,-100.0,4.261020183563232,0
16.019269,82,51.419528,-100.0,4.081994533538818,0
9.660929,88,51.582313,-100.0,-0.06722015142440796,0
9.436402,65,52.767519,-100.0,-0.12543845176696777,0
11.240879,54,52.865696,-100.0,-0.21170786023139954,0
11.867393,86,53.035281,-100.0,-0.27843064069747925,0
8.823354,87,53.180982,-100.0,-0.20079182088375092,0
11.138344,87,53.30413,-100.0,1.2123485803604126,0
9.183748,58,53.386776,-100.0,-0.12051045149564743,0
11.74234,76,53.488077,-100.0,-0.3651079535484314,0
6.796887,70,53.59549,-100.0,-0.21831612288951874,0
12.235174,61,53.684503,-100.0,-0.011621369048953056,0
9.882507,76,53.794895,-100.0,-0.2436901181936264,0
13.219491,92,53.924041,-100.0,1.9137824773788452,0
16.955235,65,54.019786,-100.0,4.465817928314209,0
9.702178,54,54.099636,-100.0,-0.09896150231361389,0
10.418455,71,54.203774,-100.0,-0.19388172030448914,0
8.935397,60,54.291678,-100.0,-0.010754481889307499,0
10.166443,60,55.346879,-100.0,-0.09554232656955719,0
11.20585,58,55.425705,-100.0,-0.21740108728408813,0
12.399302,65,55.517382,-100.0,-0.4421405494213104,0
9.443732,71,55.652707,-100.0,-0.13674384355545044,0
10.038549,75,55.762572,-100.0,-0.19959278404712677,0
11.804685,87,55.8843,-100.0,-0.320659875869751,0
9.147531,65,55.985654,-100.0,-0.16165775060653687,0
10.387834,60,56.070827,-100.0,-0.03466718643903732,0
9.967937,54,56.144221,-100.0,-0.2067897617816925,0
6.662642,68,56.241627,-100.0,-0.23228085041046143,0
11.487814,53,56.324349,-100.0,-0.21257241070270538,0
10.556982,56,56.410782,-100.0,-0.20266510546207428,0
11.583126,87,56.537744,-100.0,-0.22772334516048431,0
8.465901,60,56.641081,-100.0,-0.05640634149312973,0
8.090491,58,56.727619,-100.0,-0.13094137609004974,0
15.986279,60,56.811455,-100.0,3.9815118312835693,0
8.214647,69,58.079957,-100.0,-0.02491280809044838,0
7.764555,69,58.218421,-100.0,-0.14866724610328674,0
10.908214,85,58.370441,-100.0,-0.21823124587535858,0
8.016059,70,58.479659,-100.0,-0.061473868787288666,0
12.326152,55,58.561498,-100.0,1.5797175168991089,0
11.708912,55,58.640116,-100.0,1.1305636167526245,0
9.011337,90,58.771789,-100.0,-0.22998693585395813,0
9.538224,80,58.88591,-100.0,-0.19402356445789337,0
8.357347,54,58.96297,-100.0,0.011494407430291176,0
5.593978,90,59.100819,-100.0,-0.19908243417739868,0
5.750346,91,59.227787,-100.0,-0.24347472190856934,0
7.287725,86,59.348922,-100.0,-0.20510753989219666,0
4.274966,87,59.470752,-100.0,-0.24541321396827698,0
10.381374,86,60.618359,-100.0,-0.17195233702659607,0
6.57776,76,60.723601,-100.0,-0.14883948862552643,0
14.662185,69,60.81915,-100.0,3.178323268890381,0
8.619183,71,60.917137,-100.0,-0.25247424840927124,0
12.886818,70,61.015112,-100.0,1.484701156616211,0
8.421032,63,61.101269,-100.0,0.09156818687915802,0
7.846692,60,61.190836,-100.0,-0.1847606748342514,0
8.293625,80,61.3166,-100.0,0.1860201060771942,0
15.960012,80,61.438047,-100.0,3.9864394664764404,0
12.208502,58,61.522048,-100.0,-0.2941696047782898,0
17.165673,70,61.641454,-100.0,4.4421868324279785,0
9.1047,57,61.73315,-100.0,-0.09681583940982819,0
9.185367,54,61.812713,-100.0,-0.19303832948207855,0
5.106385,80,61.928108,-100.0,-0.11060431599617004,0
12.8449,78,62.036875,-100.0,1.7635518312454224,0
8.879878,58,63.286664,-100.0,-0.22780819237232208,0
9.857919,68,63.425561,-100.0,-0.1783352494239807,0
9.026801,85,63.566211,-100.0,0.008621391840279102,0
15.49927,65,63.659161,-100.0,3.864863157272339,0
9.993929,65,63.750245,-100.0,-0.10157319158315659,0
17.00056,61,63.831208,-100.0,4.237747669219971,0
14.964308,60,63.919901,-100.0,3.5651943683624268,0
10.991268,89,64.044661,-100.0,-0.21202559769153595,0
11.431178,54,64.11807,-100.0,-0.2096763551235199,0
16.858039,79,64.233406,-100.0,4.217291831970215,0
9.537263,68,64.331481,-100.0,0.6181368827819824,0
8.806362,64,64.422963,-100.0,-0.16517922282218933,0
5.965305,91,64.548665,-100.0,-0.36490732431411743,0
7.943248,68,64.649712,-100.0,-0.07254341244697571,0
7.836234,64,64.736139,-100.0,-0.12799637019634247,0
10.845439,88,65.877805,-100.0,-0.2515102028846741,0
17.168184,63,65.968987,-100.0,4.3186211585998535,0
5.524856,90,66.105256,-100.0,-0.40456438064575195,0
9.127002,58,66.183936,-100.0,-0.2522280812263489,0
10.860429,73,66.290838,-100.0,-0.162395641207695,0
9.283936,61,66.378625,-100.0,-0.15513789653778076,0
8.819983,62,66.464077,-100.0,-0.141443133354187,0
9.184923,64,66.558956,-100.0,-0.12211747467517853,0
9.059735,73,66.673131,-100.0,-0.031470537185668945,0
10.09631,59,66.759033,-100.0,-0.1503293812274933,0
6.699332,72,66.861726,-100.0,-0.3550490140914917,0
5.789891,78,66.975817,-100.0,-0.33657020330429077,0
7.196755,76,67.087592,-100.0,-0.2029494047164917,0
15.664377,65,67.177258,-100.0,3.6172187328338623,0
10.64093,83,68.593676,-100.0,0.8756977319717407,0
8.577803,64,68.703105,-100.0,-0.10926130414009094,0
8.988038,81,68.82564,-100.0,-0.1480603814125061,0
6.865859,87,68.949634,-100.0,-0.18722382187843323,0
12.071777,72,69.055398,-100.0,-0.23745572566986084,0
8.051361,60,69.141853,-100.0,-0.12394726276397705,0
