#{"t_start": 1782829194.785362, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-35.081831,100,1.306989,-100.0,-1.4304076433181763,0
-6.813918,90,1.402207,-100.0,-1.8439478874206543,0
-20.410452,64,1.465807,-100.0,-2.0594561100006104,0
-24.051645,96,1.574,-100.0,-1.2489875555038452,0
-29.788068,62,1.63673,-100.0,-1.0053675174713135,0
-56.87456,90,1.720037,-100.0,-0.8801310062408447,0
-11.263999,61,1.781209,-100.0,-1.9725877046585083,0
-9.407803,61,1.84699,-100.0,-2.010798692703247,0
-19.011048,114,1.953592,-100.0,-1.7973718643188477,0
-34.519252,60,2.013693,-100.0,-2.8170270919799805,0
-7.084928,67,2.082326,-100.0,-1.7709121704101562,0
-17.373597,76,2.182033,-100.0,-1.6438167095184326,0
-25.840593,89,3.061615,-100.0,-0.6006826758384705,0
-56.771668,85,3.144526,-100.0,-1.7197219133377075,0
-11.793963,111,3.250365,-100.0,-1.591557264328003,0
-41.473601,106,3.348287,-100.0,-1.8759583234786987,0
-10.48935,96,3.459668,-100.0,-1.77688467502594,0
-9.642781,91,3.555892,-100.0,1.8885211944580078,0
-81.881723,123,3.72401,-100.0,-2.735344409942627,0
-3.312282,74,3.805397,-100.0,1.8268911838531494,0
-25.436404,77,3.894571,-100.0,-1.7305021286010742,0
-62.705611,113,4.031763,-100.0,-2.290353298187256,0
-42.919307,97,4.130872,-100.0,-1.1994128227233887,0
-49.171888,94,5.005889,-100.0,-2.1232314109802246,0
-48.773455,106,5.10563,-100.0,-0.9832423329353333,0
-31.285132,88,5.1943,-100.0,-0.4173162579536438,0
-13.476732,62,5.267094,-100.0,-1.897840142250061,0
-15.867158,117,5.386331,-100.0,-0.07109526544809341,0
-18.250036,63,5.465164,-100.0,-1.8347095251083374,0
-29.903818,104,5.563857,-100.0,-1.2754414081573486,0
-15.142546,87,5.649052,-100.0,-1.725743293762207,0
-27.946863,112,5.755815,-100.0,-1.8469820022583008,0
-42.879881,107,5.856731,-100.0,-1.0228056907653809,0
-9.910515,66,5.916319,-100.0,-1.7138694524765015,0
-5.916292,66,6.703397,-100.0,-0.09643381834030151,0
-25.729802,84,6.788596,-100.0,-1.0463626384735107,0
-30.88025,101,6.889216,-100.0,-1.9154016971588135,0
-7.648114,65,6.952514,-100.0,-2.0450680255889893,0
-35.90732,85,7.038103,-100.0,-2.357048273086548,0
-17.140827,80,7.111967,-100.0,-1.7634626626968384,0
-16.191987,81,7.188625,-100.0,-0.6016854643821716,0
-23.113898,78,7.261531,-100.0,-1.9081015586853027,0
-82.95356,100,7.362574,-100.0,-2.201709747314453,0
-21.762346,84,7.473727,-100.0,-1.9175900220870972,0
-3.967033,60,7.530594,-100.0,-0.09982097148895264,0
-14.43118,64,7.591394,-100.0,-2.097215414047241,0
-33.52217,104,7.687017,-100.0,-1.5826319456100464,0
-49.054814,91,8.543715,-100.0,-1.318779706954956,0
-20.938116,85,8.634579,-100.0,-0.3053852915763855,0
-3.210425,73,8.726538,-100.0,1.8717364072799683,0
-19.090526,68,8.843617,-100.0,-1.5023071765899658,0
-19.669377,96,8.934259,-100.0,-1.5881917476654053,0
-6.701271,66,9.002227,-100.0,1.8068263530731201,0
-23.880156,112,9.112057,-100.0,1.8913437128067017,0
-43.799712,119,9.263455,-100.0,-0.20279768109321594,0
-23.976919,80,9.337634,-100.0,-0.16661083698272705,0
-49.281889,127,9.468319,-100.0,-1.2895408868789673,0
-29.010868,116,9.584521,-100.0,-0.32538294792175293,0
-22.438603,86,10.468011,-100.0,-1.876451015472412,0
-17.587063,75,10.538486,-100.0,-1.4278470277786255,0
-8.79889,73,10.612993,-100.0,-0.38601675629615784,0
-13.183365,87,10.707955,-100.0,-1.7769124507904053,0
-23.89919,80,10.786042,-100.0,-1.4125432968139648,0
-29.697136,95,10.894238,-100.0,-0.5459553599357605,0
-8.472919,66,10.954598,-100.0,-1.9176563024520874,0
-27.453956,75,11.033503,-100.0,-0.9533483386039734,0
-10.569732,60,11.098793,-100.0,-1.6753365993499756,0
-14.170844,57,11.156042,-100.0,-1.190371036529541,0
-27.170686,87,11.25017,-100.0,-0.7889947295188904,0
-22.129862,77,11.324431,-100.0,-0.390828013420105,0
-11.503532,67,11.397496,-100.0,-0.3024998903274536,0
-21.975357,64,11.486888,-100.0,-2.351451873779297,0
-2.972424,54,12.278665,-100.0,1.8955093622207642,0
-5.842182,69,12.351216,-100.0,-1.989528775215149,0
-18.388023,91,12.438646,-100.0,-1.7050116062164307,0
-5.24725,59,12.499034,-100.0,1.9032829999923706,0
-19.350851,73,12.568037,-100.0,-1.626999855041504,0
-18.380293,93,12.658708,-100.0,-1.9892516136169434,0
-25.363691,106,12.766142,-100.0,-0.10405325889587402,0
-31.326249,90,12.851583,-100.0,-2.236541509628296,0
-10.701288,62,12.920979,-100.0,-0.23109722137451172,0
-14.901871,78,12.993334,-100.0,-2.1528449058532715,0
-31.050366,109,13.106382,-100.0,-1.7272937297821045,0
-7.952779,56,13.163044,-100.0,-2.1342198848724365,0
-18.06128,86,14.101314,-100.0,-0.6115292906761169,0
-28.858006,84,14.194338,-100.0,-1.3252314329147339,0
-13.087507,74,14.280376,-100.0,-0.13084496557712555,0
-13.063522,58,14.347742,-100.0,-1.6843693256378174,0
-20.834719,92,14.443009,-100.0,-2.105811595916748,0
-18.521716,57,14.497476,-100.0,-2.205287456512451,0
-45.910499,119,14.621175,-100.0,-0.8755607604980469,0
-29.851903,91,14.709605,-100.0,-1.4477145671844482,0
-22.301641,93,14.805915,-100.0,-2.157113552093506,0
-23.579965,78,14.882365,-100.0,-1.8112398386001587,0
-21.820559,92,14.976205,-100.0,-2.245892286300659,0
-19.078616,88,15.061859,-100.0,-1.9354619979858398,0
-18.759828,91,15.150464,-100.0,-2.0747320652008057,0
-12.553683,58,15.941308,-100.0,-0.5481168031692505,0
-4.159599,64,16.009471,-100.0,1.9171980619430542,0
-9.628772,77,16.091016,-100.0,1.9680589437484741,0
-15.782433,97,16.192042,-100.0,-1.1175200939178467,0
-8.793062,76,16.272871,-100.0,-0.18801991641521454,0
-19.036759,86,16.3636,-100.0,-1.8330579996109009,0
-12.41044,67,16.436021,-100.0,-2.1835055351257324,0
-1.92856,56,16.493734,-100.0,1.7310419082641602,0
