#{"t_start": 1782743077.4231346, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-6.752149,109,1.974766,-100.0,1.8594105243682861,0
-10.762491,70,2.078008,-100.0,-1.9794000387191772,0
-50.503861,84,2.198831,-100.0,-1.6968152523040771,0
-22.329273,93,2.329885,-100.0,-1.3352030515670776,0
-25.34806,137,2.510185,-100.0,-0.36661338806152344,0
-71.420345,89,2.618199,-100.0,-3.5791256427764893,0
-57.580921,112,2.789168,-100.0,-1.1644248962402344,0
-12.169684,90,2.930548,-100.0,-1.9206029176712036,0
-19.443245,95,3.052834,-100.0,-1.7035627365112305,0
-30.738964,116,3.230674,-100.0,-0.549501359462738,0
-12.773746,99,4.40852,-100.0,-1.8733928203582764,0
-41.536507,120,4.554972,-100.0,-0.30914178490638733,0
-41.663255,118,4.715406,-100.0,-0.42656761407852173,0
-21.969977,90,4.828902,-100.0,-1.602901577949524,0
-11.079222,60,4.911201,-100.0,-0.6318013072013855,0
-23.696124,83,5.02482,-100.0,-0.4637961685657501,0
-29.697817,79,5.12243,-100.0,-1.9908125400543213,0
-41.284877,100,5.266416,-100.0,-1.6283925771713257,0
-20.721511,76,5.364635,-100.0,-1.8415682315826416,0
-57.249067,107,5.521405,-100.0,-1.134752869606018,0
-31.06272,108,5.663758,-100.0,-0.168120339512825,0
-16.164243,81,6.71707,-100.0,-1.7112526893615723,0
-4.416147,66,6.798169,-100.0,1.8577455282211304,0
-56.661724,87,6.893754,-100.0,-0.8280400633811951,0
-5.824452,66,6.979775,-100.0,1.90895676612854,0
-32.079433,110,7.100821,-100.0,-0.5545134544372559,0
-8.358317,67,7.172076,-100.0,1.3937938213348389,0
-26.885796,119,7.329844,-100.0,-1.663177251815796,0
-45.746729,95,7.440328,-100.0,-0.657681941986084,0
-58.023874,92,7.570442,-100.0,-1.7764699459075928,0
-69.35873,116,7.775444,-100.0,-1.1778537034988403,0
-20.09819,96,7.94493,-100.0,-0.6841640472412109,0
-67.135503,111,9.193178,-100.0,-1.5972124338150024,0
-6.311754,61,9.278192,-100.0,-0.07810993492603302,0
-36.019266,95,9.401103,-100.0,-1.5704631805419922,0
-43.35608,117,9.527762,-100.0,-0.9993501901626587,0
-33.217973,91,9.633816,-100.0,-0.8101406693458557,0
-9.846322,58,9.691983,-100.0,1.8413589000701904,0
-17.090467,85,9.792085,-100.0,-1.9551036357879639,0
-58.992749,120,9.931746,-100.0,-1.410369634628296,0
-18.510763,87,10.036071,-100.0,-0.37524107098579407,0
-43.933143,94,10.146553,-100.0,-2.0421102046966553,0
-28.817113,68,10.222906,-100.0,-1.9344607591629028,0
-20.288907,63,10.324363,-100.0,-1.6413952112197876,0
-22.935806,83,11.558782,-100.0,-2.00209379196167,0
-28.407859,97,11.712925,-100.0,-2.190999984741211,0
-27.707945,92,11.845446,-100.0,-0.638030469417572,0
-25.102314,96,12.052652,-100.0,-1.7205939292907715,0
-6.521455,79,12.140233,-100.0,1.9032143354415894,0
-9.330406,69,12.214095,-100.0,1.6215815544128418,0
-6.047978,91,12.335838,-100.0,1.9355249404907227,0
-34.739898,94,12.46067,-100.0,-1.2514804601669312,0
-34.214166,106,12.602366,-100.0,-1.3816295862197876,0
-21.404356,111,12.745312,-100.0,-1.2525569200515747,0
-2.578424,72,12.824219,-100.0,1.9001742601394653,0
-29.06687,93,13.956079,-100.0,-0.7444668412208557,0
-16.647099,85,14.060469,-100.0,-0.3461449444293976,0
-13.354415,59,14.12929,-100.0,-2.1086699962615967,0
-15.981886,70,14.208571,-100.0,-1.6591215133666992,0
