#{"t_start": 1782718341.9069467, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-33.101585,100,1.73144,-100.0,-1.913632869720459,0
-10.37452,90,1.819568,-100.0,-2.7350220680236816,0
-17.689037,64,1.879329,-100.0,-3.195418119430542,0
-23.827484,96,1.968109,-100.0,-1.4401791095733643,0
-24.057167,62,2.028989,-100.0,-1.072135329246521,0
-55.427317,90,2.11212,-100.0,-0.9874433875083923,0
-9.485486,61,2.181211,-100.0,-3.299858808517456,0
-10.34633,61,2.243515,-100.0,-3.169985294342041,0
-20.09501,114,2.34715,-100.0,-2.4210643768310547,0
-30.182522,60,2.405145,-100.0,-4.611247539520264,0
-6.661719,67,2.465495,-100.0,-2.303463935852051,0
-15.58318,76,2.539494,-100.0,-1.9083325862884521,0
-19.865033,89,3.478602,-100.0,-0.33681392669677734,0
-8.625626,65,3.541971,-100.0,-1.783339500427246,0
-14.483442,90,3.634734,-100.0,-1.7024980783462524,0
-14.228073,57,3.692869,-100.0,-3.318136215209961,0
-6.743863,89,3.772224,-100.0,-0.054417967796325684,0
-9.456594,77,3.849992,-100.0,-2.293701410293579,0
-6.581977,95,3.941221,-100.0,1.851753830909729,0
-17.273449,77,4.018044,-100.0,-1.8831734657287598,0
-56.98219,93,4.117149,-100.0,-1.654355764389038,0
-100.427049,101,4.215728,-100.0,-5.952147006988525,0
-20.329532,95,4.293505,-100.0,-0.5707038640975952,0
-2.671162,66,4.354255,-100.0,1.8973126411437988,0
-34.413441,80,4.43292,-100.0,-3.4404585361480713,0
-7.261398,67,5.283197,-100.0,-2.964810848236084,0
-8.492518,68,5.34925,-100.0,-2.5845439434051514,0
-19.376693,98,5.443796,-100.0,-2.394279718399048,0
-70.777803,101,5.546348,-100.0,-4.294299602508545,0
-33.845343,98,5.650943,-100.0,-1.4787096977233887,0
-12.712504,70,5.729832,-100.0,-2.8025918006896973,0
-29.967043,95,5.823209,-100.0,-1.3111666440963745,0
-43.390828,114,5.958774,-100.0,-1.6210966110229492,0
-16.14841,83,6.065879,-100.0,-0.35100454092025757,0
-14.346871,88,6.160609,-100.0,-1.351125717163086,0
-27.457454,68,6.225168,-100.0,-1.63389253616333,0
-21.607836,70,6.292785,-100.0,-1.1446268558502197,0
-31.664671,90,7.274221,-100.0,-2.673861265182495,0
-8.064126,62,7.349689,-100.0,-3.280249834060669,0
-14.3871,96,7.460696,-100.0,-2.458242177963257,0
-19.784373,87,7.560206,-100.0,-2.360374689102173,0
-18.151505,79,7.663051,-100.0,-2.9887032508850098,0
-69.030423,109,7.809816,-100.0,-4.7837395668029785,0
-17.511616,83,7.897541,-100.0,-3.1720268726348877,0
-31.245845,114,8.035624,-100.0,-0.43845659494400024,0
-13.146181,94,8.123033,-100.0,1.850928544998169,0
-41.09461,106,8.226062,-100.0,-0.6351060271263123,0
-8.545076,59,8.289141,-100.0,-3.5875277519226074,0
-18.488061,70,8.373901,-100.0,-0.19991889595985413,0
-48.927562,103,9.396257,-100.0,-0.85957270860672,0
-9.515903,55,9.448048,-100.0,-4.084485054016113,0
-14.866888,72,9.526009,-100.0,-2.362628936767578,0
-24.253244,100,9.616774,-100.0,-1.8561817407608032,0
-21.223077,68,9.691632,-100.0,-2.6816513538360596,0
-28.248316,121,9.807023,-100.0,-0.02221042662858963,0
-4.126273,69,9.874203,-100.0,1.9068082571029663,0
-29.484743,108,9.973272,-100.0,-2.4555723667144775,0
-13.677475,75,10.061846,-100.0,-2.3815321922302246,0
-16.211843,79,10.142627,-100.0,-1.9232738018035889,0
-105.079416,120,10.26556,-100.0,-4.693462371826172,0
-18.419473,89,11.205472,-100.0,-2.207517385482788,0
-19.218996,79,11.27662,-100.0,-2.9593217372894287,0
-29.22554,96,11.360847,-100.0,-1.2634543180465698,0
-17.600504,113,11.468372,-100.0,-2.276278257369995,0
-11.464491,69,11.537098,-100.0,-2.913644313812256,0
-30.225497,115,11.643319,-100.0,-0.3448541760444641,0
-10.551976,83,11.72105,-100.0,-1.9765727519989014,0
-10.803135,74,11.790388,-100.0,-1.610382318496704,0
-25.36801,84,11.864788,-100.0,-2.4247920513153076,0
-27.391575,107,11.96239,-100.0,-0.7266974449157715,0
-23.170576,94,12.074459,-100.0,-1.212782382965088,0
-11.072279,63,12.134484,-100.0,-0.9207815527915955,0
-8.581474,62,13.205552,-100.0,-2.900690793991089,0
-19.188481,79,13.33268,-100.0,-0.288790762424469,0
-13.847997,111,13.474774,-100.0,1.9548192024230957,0
-21.937064,88,13.571123,-100.0,-2.6396870613098145,0
-41.304148,98,13.67133,-100.0,-4.635064601898193,0
-19.912098,82,13.752562,-100.0,-3.535259962081909,0
-9.201937,54,13.802765,-100.0,-0.9073750972747803,0
-5.046927,73,13.874483,-100.0,1.9256434440612793,0
-11.891227,68,13.939046,-100.0,-0.3797317147254944,0
-10.736242,67,14.007304,-100.0,-2.0294997692108154,0
-12.893184,74,14.076499,-100.0,-3.690248489379883,0
-14.94379,69,14.148564,-100.0,-0.555564284324646,0
-16.718694,81,14.228045,-100.0,-2.0495717525482178,0
-22.943848,72,15.128415,-100.0,-0.7795627117156982,0
-8.955697,77,15.211928,-100.0,-0.340862900018692,0
-10.548005,62,15.271547,-100.0,-0.37859585881233215,0
